0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:33:09 +0900] "GET /client/html/video/3.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:33:32 +0900] "GET /client/html/Q008.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:33:33 +0900] "GET /client/html/Q008.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:36:13 +0900] "GET /client/html/Q008.html HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:36:47 +0900] "GET /client/html/Q008.html HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:36:53 +0900] "GET /client/html/ex20.html HTTP/1.1" 200 2371
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:36:53 +0900] "GET /client/html/video/1.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:36:53 +0900] "GET /client/html/video/2.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:36:53 +0900] "GET /client/html/video/3.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:38:05 +0900] "GET /client/html/video/1.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:38:08 +0900] "GET /client/html/Q008.html HTTP/1.1" 200 3876
